대여소 번호,보관소(대여소)명,자치구,상세주소,위도,경도,설치시기,LCD,QR,운영 방식
1695,월계미륭아파트 정문,노원구,노원구 월계동 14 ,37.623417,127.066933,2020-06-17,0.0,10.0,QR
2413,도곡역 1번 출구,강남구,남부순환로 2814,37.490959,127.054985,2020-02-18,0.0,20.0,QR
2414,도곡역 아카데미스위트 앞,강남구,언주로30길 21,37.488972,127.051827,2020-02-18,0.0,20.0,QR
2415,한티역 롯데백화점 앞,강남구,선릉로 228,37.496674,127.053429,2020-02-14,0.0,15.0,QR
2416,한티역 6번 출구,강남구,선릉로 227,37.495899,127.052193,2020-02-14,0.0,10.0,QR
2417,선정릉 일등 추어탕 앞,강남구,선릉로 551,37.507999,127.04525,2020-02-14,0.0,10.0,QR
2418,봉은사역 7번 출구,강남구,봉은사로 601,37.513935,127.059822,2020-02-14,0.0,10.0,QR
2419,"봉은사역 1,2번 출구",강남구,봉은사로 601,37.514309,127.0597,2020-02-14,0.0,20.0,QR
2420,학여울역 사거리(LG베스트샵 앞),강남구,영동대로 202,37.496895,127.070137,2020-02-18,0.0,20.0,QR
2421,신논현역 4번출구,강남구,봉은사로 110,37.504673,127.025795,2020-02-14,0.0,15.0,QR
2422,수서동 성당 맞은편,강남구,광평로34길 202,37.484169,127.094849,2020-02-18,0.0,10.0,QR
2423,영희초교 사거리(래미안개포루체하임),강남구,개포로110길 50,37.490837,127.08065,2020-02-18,0.0,10.0,QR
2425,세곡동 사거리(대왕초등학교 정류장),강남구,헌릉로618길 8,37.464619,127.10685,2020-02-18,0.0,20.0,QR
2426,강남한신휴플러스 6단지,강남구,강남구 율현동 333-1,37.468296,127.104698,2020-02-18,0.0,10.0,QR
2427,개포고등학교 정문앞,강남구,강남구 개포로402,37.484852,127.058373,2020-02-18,0.0,10.0,QR
2428,롯데리아 개포점앞,강남구,강남구 선릉로26,37.482368,127.061188,2020-02-18,0.0,10.0,QR
2429,압구정로데오역 6번출구,강남구,선릉로845,37.527454,127.040428,2020-02-14,0.0,10.0,QR
2430,강남파이낸스센터앞(역삼역2번출구),강남구,테헤란로152,37.500244,127.036057,2020-02-14,0.0,10.0,QR
2431,대치역 7번출구,강남구,남부순환로155,37.494118,127.062904,2020-02-18,0.0,10.0,QR
1063,강동롯데캐슬퍼스트 아파트(관리동),강동구,강동구 고덕로 131,37.556664,127.142738,2020-01-13,0.0,15.0,QR
1064,중앙보훈병원역 1번출구,강동구,둔촌동 산17-4 ,37.527794,127.147644,2020-01-09,0.0,15.0,QR
1065,보훈병원 정문옆(중앙대영약국),강동구,동남로 635,37.531208,127.149269,2020-01-09,0.0,20.0,QR
1066,생태공원앞 교차로(조명탑),강동구,강동구 둔촌동 564,37.537766,127.152016,2020-01-09,0.0,20.0,QR
1067,한영중고앞사거리,강동구, 명일동 59 ,37.549053,127.156403,2020-01-15,0.0,20.0,QR
1068,명일파출소,강동구,동남로 895,37.55365,127.156227,2020-01-14,0.0,20.0,QR
1069,강동경희대학교병원 입구,강동구,동남로 892,37.553055,127.156883,2020-01-15,0.0,15.0,QR
1070,(시립)고덕평생학습관,강동구,고덕로 295,37.555702,127.157921,2020-01-14,0.0,10.0,QR
1071,명일근린공원공동체텃밭,강동구,상일동 145-6,37.555687,127.159912,2020-01-13,0.0,15.0,QR
1072,고덕역 5번출구,강동구,5호선 고덕역 5번출구 뒤,37.554863,127.153725,2020-01-13,0.0,10.0,QR
1073,SSTS 몰 앞,강동구,양재대로 1517,37.541145,127.141052,2020-01-10,0.0,10.0,QR
1074,대명초교입구 사거리,강동구,명일동 59 ,37.546837,127.149162,2020-01-10,0.0,15.0,QR
1075,천동초교 삼거리,강동구,천호동 114-2 (정자 쉼터),37.541363,127.137184,2020-01-10,0.0,10.0,QR
1076,전자랜드 길동점,강동구,양재대로 1504,37.539894,127.141037,2020-01-10,0.0,10.0,QR
1077,강동역 1번출구 앞,강동구,천호동 571-2 ,37.536205,127.132561,2020-01-09,0.0,15.0,QR
1078,둔촌사거리,강동구,성내동 449-22 ,37.521976,127.133621,2020-01-14,0.0,20.0,QR
1079,강일동입구교차로,강동구,강일동 607-7,37.561844,127.170845,2020-01-13,0.0,15.0,QR
1080,엘웨딩,강동구,천호대로 1052,37.536831,127.128418,2020-01-09,0.0,10.0,QR
1081,트레빌빌딩,강동구,천호동451-20,37.536999,127.129532,2020-01-09,0.0,20.0,QR
1082,중앙보훈병원역3번출구,강동구,둔촌동6-14,37.52956,127.14901,2020-01-10,0.0,13.0,QR
1083,광문고교사거리(아이파크),강동구,고덕동302,37.560368,127.156593,2020-01-13,0.0,15.0,QR
1084,윤선생빌딩(JYP사옥),강동구,강남대로207(윤선생빌딩),37.52393,127.129128,2020-01-08,0.0,15.0,QR
1085,래미안 솔베뉴(고덕로),강동구,양재대로1650,37.554569,127.145874,2020-01-13,0.0,20.0,QR
1086,래미안 솔베뉴(구천면로),강동구,양재대로1650,37.550598,127.145454,2020-01-10,0.0,10.0,QR
1088,풍납사거리(강동),강동구,성내동451-3,37.528122,127.119522,2020-01-14,0.0,12.0,QR
1089,고덕 래미안힐스테이트(201동),강동구,고덕동 675,37.5606,127.146698,2020-01-13,0.0,10.0,QR
1090,상일동역 2번출구 앞,강동구,고덕로 333,37.556789,127.166145,2020-01-13,0.0,10.0,QR
1551,4.19탑 앞,강북구,수유동 567-69,37.646862,127.008812,2020-03-25,0.0,8.0,QR
1552,강북구청사거리(던킨도너츠 앞),강북구,강북구 번동 418-1,37.639202,127.027237,2020-03-25,0.0,8.0,QR
1553,예수그리스도후기성도교회 앞,강북구,강북구 번동 433-1,37.635204,127.033966,2020-03-26,0.0,15.0,QR
1554,번동사거리,강북구,강북구 번동 430-76,37.635391,127.034554,2020-03-25,0.0,10.0,QR
1557,신창교,강북구,강북구 번동 612-3,37.632381,127.039307,2020-03-27,0.0,10.0,QR
1558,강북문화정보도서관,강북구,강북구 번동 139-5,37.625526,127.037323,2020-03-26,0.0,15.0,QR
1560,도봉세무서 앞,강북구,강북구 도봉로 117,37.619808,127.028526,2020-03-27,0.0,10.0,QR
1564,4.19민주묘지역 1번출구,강북구,우이동72-229,37.649597,127.013847,2020-03-25,0.0,7.0,QR
1565,대한병원앞,강북구,수유동45-7,37.635612,127.022995,2020-03-25,0.0,15.0,QR
1566,삼각산 아이언APT앞,강북구,미아동812-6(정문),37.616516,127.018372,2020-03-26,0.0,15.0,QR
1568,4.19민주묘지 입구사거리,강북구,강북구 삼양료 504,37.647934,127.014572,2020-03-25,0.0,10.0,QR
1569,수유역2번출구,강북구,강북구 수유동,37.63797,127.025902,2020-03-28,0.0,10.0,QR
2703,서울도시가스 앞 ,강서구,강서구 공항대로 607 ,37.547485,126.872025,2020-03-16,0.0,20.0,QR
2704,홈플러스(강서점),강서구,강서구 화곡로 398 ,37.558334,126.854065,2020-03-16,0.0,10.0,QR
2706,강서공업고등학교 앞,강서구,"강서구 방화대로47가길 22, 411동 앞",37.576317,126.816498,2020-03-20,0.0,13.0,QR
2707,한강아파트,강서구,강서구 허준로 23,37.57037,126.844414,2020-03-20,0.0,13.0,QR
2708,강서한강자이타워 앞,강서구,강서구 양천로 401 ,37.564682,126.848908,2020-03-20,0.0,15.0,QR
2709,강변아파트 310동 앞,강서구,강서구 가양동 1459-8 ,37.564587,126.856918,2020-03-16,0.0,20.0,QR
2710,라이품 공영주차장 앞,강서구,강서구 강서로 515,37.570728,126.841568,2020-03-20,0.0,30.0,QR
2711,가로공원공영주차장 1번 출구,강서구,강서구 가로공원로 193,37.537361,126.837448,2020-03-18,0.0,9.0,QR
2712,화곡터널입구교차로,강서구,강서구 가로공원로 238 ,37.538338,126.842392,2020-03-17,0.0,10.0,QR
2713,우장초등학교 앞,강서구,강서구 화곡로 263,37.548534,126.846672,2020-03-17,0.0,13.0,QR
2714,발산1동주민센터교차로,강서구,강서구 강서로47길 86 ,37.553173,126.831238,2020-03-17,0.0,10.0,QR
2715,마곡나루역 2번 출구 ,강서구,강서구 마곡중앙5로 6 ,37.566883,126.827683,2020-05-27,0.0,25.0,QR
2716,롯데 R&D 센터,강서구,강서구 마곡동 301-2 ,37.569176,126.828217,2020-03-13,0.0,30.0,QR
2717,LG유플러스 마곡사옥,강서구,강서구 마곡중앙8로 71,37.561337,126.833901,2020-03-15,0.0,30.0,QR
2718,마곡수명산파크1단지,강서구,강서구 마곡동 728-148 ,37.554993,126.831894,2020-03-17,0.0,15.0,QR
2719,마곡문화공원,강서구,강서구 마곡중앙8로 20,37.561371,126.830124,2020-03-16,0.0,20.0,QR
2720,힐스테이트에코,강서구,강서구 마곡동 727-1120,37.559589,126.829781,2020-03-16,0.0,30.0,QR
2721,등촌1-10단지 교차로,강서구,강서구 강서로 419,37.563145,126.839562,2020-03-15,0.0,12.0,QR
2722,마곡 문영비지윅스,강서구,강서구 강서로 391,37.560604,126.83873,2020-03-15,0.0,20.0,QR
2723,마곡 필네이처,강서구,강서구 마곡동 727-1190,37.560894,126.836693,2020-03-16,0.0,13.0,QR
2724,(재)FITI시험연구원,강서구,강서구 마곡동 727-211,37.568665,126.838799,2020-03-20,0.0,25.0,QR
2725,서울식물원 식물문화센터,강서구,강서구 마곡동 727-305,37.569294,126.836197,2020-03-12,0.0,20.0,QR
2727,서울식물원 잔디마당 앞,강서구,강서구 마곡동 727-558,37.564087,126.830849,2020-03-15,0.0,20.0,QR
2728,마곡나루역 3번 출구,강서구,강서구 마곡동 372-23,37.565804,126.828079,2020-03-12,0.0,30.0,QR
2729,넥센 유니버시티 앞,강서구,강서구 마곡동 301-2,37.569485,126.828095,2020-03-13,0.0,30.0,QR
2730,마곡메가박스 앞,강서구,강서구 마곡동 727-1179,37.559128,126.834953,2020-03-15,0.0,30.0,QR
2731,명덕고교,강서구,강서구 마곡동 728-46,37.554951,126.834732,2020-03-16,0.0,14.0,QR
2732,마곡수명산 1-2단지 ,강서구,강서구 마곡동 728-350,37.555145,126.829453,2020-03-17,0.0,15.0,QR
2733,마곡13단지 정문 앞,강서구,강서구 마곡동 730-417 ,37.55854,126.820107,2020-03-20,0.0,15.0,QR
2735,마곡 공공청사,강서구,강서구 마곡서로 101 ,37.562294,126.823952,2020-03-13,0.0,30.0,QR
2736,마곡엠벨리7단지 M타워,강서구,강서구 마곡서로 133 ,37.566689,126.824699,2020-03-13,0.0,30.0,QR
2737,까치산역 3번 출구,강서구,강서로 45,37.531693,126.846588,2020-03-21,0.0,10.0,QR
2739,수명산파크1단지교차로,강서구,강서로47길 142,37.553585,126.828568,2020-03-17,0.0,10.0,QR
2740,마곡레포츠센터,강서구,양천로 251,37.57272,126.832069,2020-03-20,0.0,30.0,QR
2741,마곡수명산파크5-6단지,강서구,강서구 내발산동 751-1,37.550617,126.826881,2020-03-17,0.0,8.0,QR
2742,강서구민올림픽체육센터,강서구,화곡로65길 62,37.559402,126.850441,2020-03-17,0.0,10.0,QR
2186,우리은행 낙성대역지점,관악구,남부순환로 1889,37.478821,126.95961,2020-04-29,0.0,15.0,QR
2187,현대시장사거리(신한은행),관악구,은천로 110,37.486736,126.947517,2020-04-27,0.0,15.0,QR
2189,삼성서비스센터(관악점) ,관악구,남부순환로 1719,37.482754,126.941406,2020-04-29,0.0,15.0,QR
2190,도원맨션,관악구,남부순환로 1699,37.483688,126.939156,2020-04-30,0.0,12.0,QR
2191,대학동주민센터 ,관악구,신림로 115,37.470688,126.936485,2020-04-28,0.0,10.0,QR
2195,은천교회,관악구,남부순환로 1654,37.484646,126.934509,2020-04-27,0.0,15.0,QR
2196,삼화페인트 봉천점,관악구,남부순환로 1700,37.483311,126.939026,2020-04-28,0.0,10.0,QR
2198,사랑의병원,관악구,남부순환로 1868,37.479465,126.956932,2020-04-30,0.0,10.0,QR
2199,신봉천주유소,관악구,남부순환로 1884,37.478771,126.958695,2020-04-30,0.0,8.0,QR
2200,관악문화원 건너편,관악구,신림동 138-54,37.468567,126.946755,2020-04-28,0.0,20.0,QR
3304,낙성대역 5번 출구,관악구,남부순환로 1917,37.477753,126.962364,2020-04-29,0.0,15.0,QR
3305,낙성대역 8번 출구,관악구,남부순환로 1939,37.476776,126.964867,2020-04-29,0.0,10.0,QR
3306,서울신우초등학교,관악구,호암로 498,37.462147,126.931778,2020-04-28,0.0,10.0,QR
3307,봉천고개 육교,관악구,관악로 306,37.491226,126.956078,2020-04-26,0.0,15.0,QR
3310,영락고등학교,관악구,청룡16길 25,37.476627,126.943642,2020-04-28,0.0,15.0,QR
3311,서울대입구역 4번 출구,관악구,참숯5길 7,37.48122,126.951576,2020-04-30,0.0,12.0,QR
3563,구의7단지현대아파트,광진구,광진구 구의강변로3가길 39 ,37.53651,127.091393,2020-06-09,0.0,5.0,QR
3564,나루마당,광진구,구의동 148-1,37.547752,127.095757,2020-04-14,0.0,20.0,QR
3566,우성4차아파트,광진구,자양번영로 59,37.535072,127.076111,2020-04-14,0.0,10.0,QR
3569,건대병원후문,광진구,능동로120-1,37.539566,127.072441,2020-05-07,0.0,10.0,QR
3570,구의역 리버비스타 오피스텔,광진구,아차산로417,37.538097,127.08902,2020-04-14,0.0,10.0,QR
3571,화양 APT(횡단보도 옆),광진구,동일로24길5,37.54435,127.065407,2020-04-13,0.0,15.0,QR
3573,광나루안전체험관,광진구,능동로238,37.551338,127.076714,2020-04-13,0.0,15.0,QR
3575,자양사거리 (LG 유플러스),광진구,아차산로360,37.536575,127.082581,2020-04-14,0.0,6.0,QR
3577,신자초교 입구 교차로(SC제일은행),광진구,뚝섬로587,37.533386,127.075569,2020-04-14,0.0,10.0,QR
3578,중곡동 파크웨이빌딩,광진구,천호대로611,37.555008,127.085815,2020-04-14,0.0,9.0,QR
3579,광진 캠퍼스시티,광진구,동일로178,37.54789,127.067452,2020-04-13,0.0,20.0,QR
3581,광진광장,광진구,광나루로389,37.54747,127.073967,2020-04-16,0.0,15.0,QR
3582,화양동 우체국,광진구,광나루로356,37.547989,127.069504,2020-04-13,0.0,14.0,QR
3586,군자역 비채온 오피스텔,광진구,광진구 천호대로 530(군자동),37.557713,127.077271,2020-04-14,0.0,8.0,QR
2804,항동지구 6단지 602동 앞,구로구,구로구 항동 216-11 ,37.477375,126.820015,2020-03-03,0.0,20.0,QR
2805,구로자원순환센터 ,구로구,구로구 항동 216-11 ,37.48251,126.82576,2020-02-27,0.0,20.0,QR
2806,항동지구 4단지 입구,구로구,구로구 항동 82-9,37.482597,126.826454,2020-02-27,0.0,20.0,QR
2807,항동지구 1단지 105동 앞,구로구,구로구 항동 100-14,37.480629,126.821816,2020-02-28,0.0,20.0,QR
2808,항동지구 2단지 202동 앞,구로구,구로구 항동 113-1,37.480808,126.821907,2020-02-28,0.0,20.0,QR
2809,항동지구 11단지 1103동 앞,구로구,구로구 항동 169-1,37.477905,126.823113,2020-03-02,0.0,20.0,QR
2810,항동지구 3단지 311동 앞,구로구,구로구 항동 169-2,37.47794,126.823273,2020-03-02,0.0,20.0,QR
2812,항동프라자,구로구,구로구 항동 120-5,37.479832,126.822754,2020-03-02,0.0,18.0,QR
2813,항동지구 3단지 302동 앞,구로구,구로구 항동 135-26,37.47937,126.82547,2020-03-03,0.0,10.0,QR
2814,항동지구 10단지 1001동 앞,구로구,구로구 항동 135-11,37.479343,126.825638,2020-03-03,0.0,10.0,QR
2815,항동지구 7단지 정문,구로구,구로구 항동 207-1,37.476013,126.81646,2020-03-02,0.0,20.0,QR
2816,항동지구 8단지 803동옆(주차장입구),구로구,구로구 항동 220,37.474731,126.817009,2020-03-02,0.0,20.0,QR
2817,천왕이펜하우5단지 앞,구로구,구로구 천왕동 277-4,37.479897,126.84037,2020-02-27,0.0,15.0,QR
2818,천왕이펜하우스3단지 앞,구로구,구로구 천왕동 277-4,37.482239,126.838532,2020-02-27,0.0,20.0,QR
2819,하늘숲초등학교 앞,구로구,구로구 천왕동 산13-1,37.483665,126.841614,2020-02-27,0.0,15.0,QR
2820,신세기아파트 앞,구로구,구로구 개봉동 412-52,37.493965,126.853043,2020-03-03,0.0,20.0,QR
2821,청구아파트 앞,구로구,구로구 고척동 50-65,37.50119,126.863533,2020-03-09,0.0,10.0,QR
2822,제니스스포츠 앞,구로구,구로구 고척동 60-42,37.50452,126.870552,2020-03-09,0.0,20.0,QR
2823,중앙유통단지 앞,구로구,구로구 구로동 635-32,37.499813,126.874313,2020-03-09,0.0,10.0,QR
2824,미래사랑어린이공원 앞,구로구,구로구 신도림동 314-2,37.510063,126.889565,2020-03-04,0.0,10.0,QR
2825,초롱타운 앞,구로구,구로구 구로동 467-62,37.495453,126.880394,2020-03-03,0.0,10.0,QR
2826,가마산지하보도 옆,구로구,구로구 구로동 390-157,37.488647,126.88047,2020-03-03,0.0,10.0,QR
1861,IBK기업은행 석수역 지점 앞,금천구,시흥대로46 IBK기업은행 석수역 지점,37.436981,126.903297,2020-02-24,0.0,10.0,QR
1862,스타즈호텔독산 빌딩 앞,금천구,시흥대로 315,37.461346,126.897583,2020-02-24,0.0,30.0,QR
1863,위너스 스포츠클럽 골프연습장옆,금천구,시흥대로 302 옆,37.460537,126.898605,2020-02-24,0.0,14.0,QR
1864,산호시티빌 옆,금천구,시흥대로 251 옆,37.45652,126.899551,2020-02-26,0.0,15.0,QR
1865,금천구청앞(M빌딩),금천구,시흥대로67 옆,37.456333,126.896454,2020-02-24,0.0,10.0,QR
1866,서울안천초등학교 옆,금천구,한내로 69-16,37.457779,126.889427,2020-02-26,0.0,20.0,QR
1867,대륭포스트타워6차 앞,금천구,벚꽃로 298,37.480888,126.883804,2020-02-26,0.0,20.0,QR
1868,우리은행 시흥남자동화점 앞,금천구,시흥대로155,37.447853,126.902885,2020-02-24,0.0,15.0,QR
1869,롯데캐슬골드파크3차 301동 앞,금천구,"시흥대로291, 롯데캐슬3차 301동 앞",37.459019,126.896713,2020-02-26,0.0,15.0,QR
1870,독산3동주민센터 앞,금천구,독산로 317,37.475071,126.903359,2020-02-26,0.0,8.0,QR
1696,수락리버시티4단지,노원구,상계동 1195-1 ,37.686451,127.052834,2020-03-21,0.0,10.0,QR
1697,상계주공2단지 219동,노원구,상계동 740 ,37.650249,127.057152,2020-03-23,0.0,10.0,QR
1700,상계보람아파트 202동 ,노원구,상계동 456-23  ,37.665215,127.066139,2020-03-23,0.0,15.0,QR
2901,공릉동풍림아파트 101동,노원구,노원구 섬밭로 139,37.630001,127.065682,2020-03-24,0.0,8.0,QR
2902,공릉풍림아파트 108동,노원구,노원구 섬밭로 139,37.62862,127.06691,2020-03-24,0.0,12.0,QR
2903,월계초안아파트 1단지,노원구,노원구 덕릉로60길 185,37.633259,127.0439,2020-03-24,0.0,10.0,QR
2904,중계3차청구아파트,노원구,노원구 중계로 225,37.650505,127.073982,2020-03-24,0.0,8.0,QR
2905,중계주공6단지,노원구,노원구 한글비석로8길 41,37.648163,127.078987,2020-03-26,0.0,10.0,QR
2907, 월계중학교,노원구, 서울특별시 노원구 월계로45가길 54,37.630749,127.053108,2020-03-24,0.0,25.0,QR
2908, 광운대학교 중앙도서관,노원구, 서울 노원구 광운로 20,37.620003,127.058563,2020-03-24,0.0,20.0,QR
2909, 석계역 3번 출구,노원구, 서울 노원구 월계동,37.615459,127.067452,2020-03-25,0.0,10.0,QR
2910,도깨비시장,노원구, 노원구 동일로 1028,37.622093,127.074425,2020-03-25,0.0,10.0,QR
2911,상계역중앙시장,노원구, 서울 노원구 상계로27길 20,37.659233,127.072098,2020-03-23,0.0,30.0,QR
2912,대진고등학교,노원구, 서울 노원구 공릉로62가길 47,37.638191,127.073731,2020-03-23,0.0,20.0,QR
2913,상계8동 주민센터,노원구,서울시 노원구 동일로227길 85,37.666996,127.051529,2020-03-23,0.0,15.0,QR
2914,서울과학기술대학교(미래관),노원구,노원구 공릉동 172 ,37.628925,127.081429,2020-06-10,0.0,20.0,QR
2915,서울과학기술대학교(어학교육원),노원구,노원구 공릉동 172 ,37.635109,127.076599,2020-03-24,0.0,20.0,QR
2917,신창중학교 후문 맞은편 버스정류장,노원구,서울 노원구 월계로45길 92,37.628071,127.046921,2020-03-30,0.0,10.0,QR
2919,등나무 근린공원(시립북서울미술관 앞) ,노원구,노원구 중계동 508,37.639996,127.066574,2020-03-23,0.0,15.0,QR
2920,상계중학교(당현2교사거리),노원구,노원구 노원로 398 ,37.651035,127.06871,2020-03-23,0.0,15.0,QR
2921,중계역 2번출구,노원구,노원구 동일로 1308-1,37.645489,127.064583,2020-03-26,0.0,10.0,QR
1743,창동19단지아파트 관리사무소앞,도봉구,서울시 도봉구 창4동33번지,37.650391,127.052193,2020-03-17,0.0,10.0,QR
1744,KT방학지사 앞,도봉구,도봉구 방학동 726-92,37.665272,127.043144,2020-03-21,0.0,15.0,QR
1746, 다이소방학점 앞,도봉구, 도봉구 방학동 726-65,37.666233,127.04332,2020-03-21,0.0,10.0,QR
1748, 피자헛 앞(도봉병원 옆),도봉구, 도봉구 방학동 726-17,37.668983,127.043762,2020-03-21,0.0,7.0,QR
1749, ESA아파트 상가 앞,도봉구, 도봉구 방학동 726-73,37.666271,127.04599,2020-03-21,0.0,10.0,QR
